"","Ano","Órgão Orçamentário","Função","Unidade Orçamentária","Programa","Ação","Localizador","Plano Orçamentário","Grupo de Despesa","Modalidade de Aplicação","Resultado Primário","Fonte","Subfunção","Projeto de Lei","Dotação Inicial","Dotação Atual","Empenhado","Liquidado","Pago"
"33",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","1399 - Desenvolvimento de Veículos Lançadores de Satélites","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",8441657,7850741,7850741,7914555,7914555,3028073
"34",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","1399 - Desenvolvimento de Veículos Lançadores de Satélites","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",3930123,3930123,3930123,3879522,3879522,2738975
"35",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","1400 - Desenvolvimento de Foguetes de Sondagem","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",1668500,1668500,1668500,1462958,1462958,1040863
"36",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","2457 - Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","50 - Transferências a Instituições Privadas sem Fins Lucrativos","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",430,404.2,285.425,263.333,263.333,263.333
"37",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","2457 - Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","0001 - Nacional","[valor não detalhado]","4 - Investimentos","50 - Transferências a Instituições Privadas sem Fins Lucrativos","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",50,50,83.5,140.84,140.84,140.84
"38",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","2457 - Pesquisa e Desenvolvimento em Ciências e Tecnologias Espaciais","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",0,0,85.275,0,0,0
"39",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","2460 - Manutenção da Infra-Estrutura de Apoio Às Atividades Espaciais","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",1419000,1376430,1376430,1207232,1207232,1028290
"40",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","6355 - Experimentos em Microgravidade","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","50 - Transferências a Instituições Privadas sem Fins Lucrativos","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",0,0,363.289,345.398,345.398,345.398
"41",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","6355 - Experimentos em Microgravidade","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",421,395.74,32.451,11.086,11.086,11.086
"42",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","6355 - Experimentos em Microgravidade","0001 - Nacional","[valor não detalhado]","4 - Investimentos","50 - Transferências a Instituições Privadas sem Fins Lucrativos","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",0,0,29,19.68,19.68,19.68
"43",2001,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - NACIONAL DE ATIVIDADES ESPACIAIS - PNAE","6355 - Experimentos em Microgravidade","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","571 - Desenvolvimento Científico",29,29,0,0,0,0
"44",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","1271 - Apoio à Comercialização de Bens e Serviços no Setor Espacial","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","691 - Promoção Comercial",146.79,146.79,0,0,0,0
"45",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","1398 - Desenvolvimento de Satélites de Coleta de Dados e Sensoriamento Remoto","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",4035000,3913950,4795795,4722342,4722342,4722342
"46",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","1398 - Desenvolvimento de Satélites de Coleta de Dados e Sensoriamento Remoto","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",981.845,881.845,0,0,0,0
"47",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","1399 - Desenvolvimento de Veículos Lançadores de Satélites","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",7500000,7275000,6275000,6269715,6269715,4200019
"48",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","1399 - Desenvolvimento de Veículos Lançadores de Satélites","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",3778835,3778835,1058835,1048459,1048459,422.918
"49",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","1400 - Desenvolvimento de Foguetes de Sondagem","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",1668000,1617960,307.96,295.606,295.606,295.606
"50",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","2460 - Manutenção da Infra-estrutura de Apoio às Atividades Espaciais","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",721.4,721.4,721.4,602.088,602.088,468.055
"51",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","2460 - Manutenção da Infra-estrutura de Apoio às Atividades Espaciais","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",547.6,547.6,547.6,483.629,483.629,218.446
"52",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","3704 - Implantação de Infra-estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","80 - Transferências ao Exterior","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",0,0,127.941,127.941,127.941,127.941
"53",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","3704 - Implantação de Infra-estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",2e+06,1940000,1082059,710.34,710.34,339.175
"54",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","3704 - Implantação de Infra-estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento","0001 - Nacional","[valor não detalhado]","4 - Investimentos","80 - Transferências ao Exterior","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",0,0,25.376,25.376,25.376,25.376
"55",2002,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - PNAE","3704 - Implantação de Infra-estrutura Necessária ao Centro de Lançamento de Alcântara para a Prestação de Serviços de Lançamento","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",1.1e+07,1.1e+07,2604624,2583514,2583514,1266792
