"","Função","Programa","Grupo.de.Despesa","Modalidade.de.Aplicação","Resultado.Primário","Projeto.de.Lei","Dotação.Inicial","Dotação.Atual","Empenhado","Liquidado","Pago"
"617","19","2056","4","90","2",4580000,4580000,4580000,4278010,1956348,1493100
"618","19","2056","3","50","2",0,0,2325765,2325765,2325765,2325765
"619","19","2056","3","90","2",4125765,4125765,1800000,0,0,0
"620","19","2056","4","50","2",0,0,874.235,874.235,874.235,874.235
"621","19","2056","4","90","2",874.235,874.235,0,0,0,0
"622","19","2056","3","50","2",0,0,2525765,2525765,2525765,2525765
"623","19","2056","3","90","2",4125765,4125765,1600000,323.104,323.104,323.104
"624","19","2056","4","50","2",0,0,874.235,874.235,874.235,874.235
"625","19","2056","4","90","2",874.235,874.235,0,0,0,0
"626","19","2056","3","90","2",815,815,815,399.803,399.803,399.803
"627","19","2056","4","90","2",1730000,1730000,1730000,589.249,387.769,387.769
"628","19","2056","3","90","2",3270000,3270000,3268745,2484375,1949462,1949462
"629","19","2056","3","91","2",0,0,1.255,1.255,1.255,1.255
"630","19","2056","4","90","2",1730000,1730000,1730000,583.133,42.311,42.311
"631","19","2056","3","50","2",0,0,14107530,14107530,14107530,14107530
"632","19","2056","3","90","2",22931500,22489030,8380939,8227510,1359985,1099883
"633","19","2056","3","91","2",0,0,561,561,561,561
"634","19","2056","4","50","2",0,0,3068500,3068500,3068500,3068500
"635","19","2056","4","90","2",3068500,3068500,0,0,0,0
"636","19","2056","3","90","2",3500000,3500000,3500000,995.605,962.934,962.934
"637","19","2056","3","50","2",0,0,1477177,1477177,1477177,1477177
"638","19","2056","3","90","2",2548457,2548457,1071280,118.656,79.717,79.717
"639","19","2056","4","50","2",0,0,3141338,3141339,3141339,3141339
"640","19","2056","4","90","2",7451543,7451543,4310205,2085985,0,0
"645","19","2106","3","90","1",5.418,5.418,5.418,0,0,0
"649","19","2106","3","50","2",25,25,620.631,595.631,595.631,595.631
"650","19","2106","3","90","2",12441981,12274044,11634572,6603531,6183358,6153773
"651","19","2106","3","90","2",25.648,25.648,25.648,0,0,0
"652","19","2106","3","91","2",0,0,43.841,43.841,28.75,28.75
"653","19","2106","4","90","2",4530000,4530000,4530000,4529531,106.268,106.268
"654","19","2106","4","90","2",0,0,833.333,0,0,0
"655","19","2106","3","90","1",45.6,45.6,45.6,43.738,43.738,43.738
"656","19","2106","3","90","1",8.4,8.4,8.4,6.622,6.622,6.622
"657","19","2106","3","90","1",30,30,30,19.727,19.727,19.727
"658","19","2106","3","90","1",180,180,180,174.855,174.855,174.855
"659","19","2056","4","90","2",85699455,90699455,90699455,86701211,25255620,25255620
"660","19","2056","3","90","2",2460000,2460000,2393000,2381580,1514404,1503508
"661","19","2056","3","91","2",0,0,67,67,42.278,42.278
"662","19","2056","4","90","2",1347332,1347332,1347332,1294970,275.882,275.882
"663","19","2056","3","90","2",5703000,5703000,5703000,5190521,3409516,3403524
"664","19","2056","4","90","2",2880000,2880000,2880000,2877506,2409523,2409523
"665","19","2056","3","90","2",13397246,13397246,13397246,12805976,6991432,6575244
"666","19","2056","4","90","2",5372614,5372614,5942038,5053342,1758208,1756908
"667","19","2056","3","30","2",73.4,73.4,0,0,0,0
"668","19","2056","3","90","2",796,796,869.4,561.437,396.507,396.507
"669","19","2056","4","90","2",2132600,2132600,1563176,1396206,430.13,430.13
"670","19","2056","3","50","2",0,0,380,380,380,380
"671","19","2056","3","90","2",2695000,2695000,2314154,762.937,449.542,448.614
"672","19","2056","3","91","2",0,0,846,847,847,847
"673","19","2056","3","50","2",0,0,20919029,20919030,20919030,20919030
"674","19","2056","3","90","2",22489030,22489030,1570001,1389199,381.05,167.875
"675","19","2056","4","50","2",0,0,3069048,3069048,3069048,3069048
"676","19","2056","4","90","2",3069048,3069048,0,0,0,0
"677","19","2056","3","90","2",815,815,815,614.396,492.494,492.494
"678","19","2056","4","90","2",1730000,1730000,1730000,1728896,784.23,784.23
"679","19","2056","3","50","2",0,0,3232739,3232740,2295740,2295740
"680","19","2056","3","90","2",4383000,4383000,62.261,0,0,0
"681","19","2056","4","50","2",0,0,1204260,1204260,1204260,1204260
"682","19","2056","4","90","2",1461000,1461000,740,0,0,0
"683","19","2056","3","50","2",0,0,2e+06,2e+06,0,0
"684","19","2056","3","90","2",3320000,3320000,497,220.2,220.2,220.2
"685","19","2056","4","90","2",680,680,3,0,0,0
"686","19","2056","3","90","2",3270000,3270000,3270000,2839007,2158583,2158583
"687","19","2056","4","90","2",2191000,2191000,2191000,2146997,196.933,196.933
"688","19","2056","3","50","2",0,0,2522000,2522000,2522000,2522000
"689","19","2056","3","90","2",2042145,2042145,2041240,741.112,137.468,137.468
"690","19","2056","3","91","2",0,0,905,906,906,906
"691","19","2056","4","50","2",0,0,6868000,6868000,6868000,6868000
"692","19","2056","4","90","2",5657855,5657855,1067855,990.516,21.395,21.395
"693","19","2056","3","50","2",0,0,2897000,2897000,1e+06,1e+06
"694","19","2056","3","90","2",1922000,1922000,69,25,25,25
"695","19","2056","3","90","2",3e+06,3e+06,2124680,2112938,1556714,1551077
"696","19","2056","3","91","2",0,0,320,320,320,320
"697","19","2056","4","90","2",3175000,3175000,1050000,1048770,522.066,505.157
"698","19","2056","3","90","2",3500000,3500000,2720000,2320343,1156275,1156275
"699","19","2056","4","90","2",1500000,1500000,2280000,2268004,313.364,313.364
"700","19","2056","3","90","2",400,400,400,0,0,0
"701","19","2056","3","90","2",500,500,500,500,0,0
"702","19","2056","4","90","2",3961000,3961000,3961000,3956620,2139684,1925716
"703","19","2056","3","90","2",200,200,200,119.987,119.987,119.987
"704","19","2056","3","90","2",200,200,200,199.978,199.978,199.978
"705","19","2056","3","90","2",12281150,12281150,12281150,12277846,4440944,4440944
"706","19","2056","4","90","2",31268350,31268350,16074131,16019342,371.777,371.777
"707","19","2056","3","90","2",2e+06,2e+06,2e+06,1979954,1915230,1915230
"708","19","2056","3","90","2",12275230,12275230,12275230,12053189,7863128,7863128
"709","19","2056","4","90","2",20958868,20958868,36153087,36153087,17754062,17684495
"710","19","2056","3","90","2",200,200,200,199.978,199.978,199.978
"711","19","2056","3","90","2",2780500,2780500,2775565,2745848,2293982,2293982
"712","19","2056","3","91","2",0,0,4.935,4.934,4.934,4.934
"713","19","2056","4","90","2",680.5,680.5,680.5,670.932,22.061,22.061
"717","19","2106","3","90","2",300,300,300,0,0,0
"718","19","2106","3","50","2",0,0,2208248,2208248,2208248,2208248
"719","19","2106","3","90","2",13217342,13217342,10829297,10516319,6027207,5973017
"720","19","2106","3","90","2",22.287,22.287,22.287,0,0,0
