"CO_MES";"SG_UF_NCM";"N_PRODUTOS";"N_PAIS";"N_VIAS";"N_URF";"KG_LIQUIDO";"VL_FOB"
10;"RE";77;3;2;4;3561;418101
10;"RJ";1548;121;6;43;7715778876;3816599282
10;"RN";77;44;5;19;31909355;27572819
10;"RO";74;56;7;21;48128526;71414593
10;"RR";82;4;4;4;2019623;892976
10;"RS";2308;174;6;38;2216388919;1671116146
10;"SC";2149;170;7;36;960194892;885197479
10;"SE";23;21;4;8;1835224;3876581
10;"SP";4582;194;8;52;4366067190;4948614938
10;"TO";22;36;4;10;189430775;83601071
11;"AC";56;13;4;8;3864895;2886434
11;"AL";230;39;5;12;158307368;52516273
11;"AM";349;57;5;13;7908159;47725871
11;"AP";9;11;4;4;68105233;32777217
11;"BA";819;100;7;37;1221347895;892568797
11;"CE";483;87;5;25;221968802;191479243
11;"DF";133;29;5;10;7821622;7605882
11;"ES";824;101;5;23;3579181034;931382499
11;"GO";351;104;6;29;671021246;483794145
11;"MA";376;39;4;9;586455333;190344035
11;"MG";1435;141;8;41;13886925247;2203985876
11;"MS";348;84;6;20;1263071366;505837657
11;"MT";74;97;5;25;3813000140;1232176479
11;"ND";33;19;3;17;567353038;230633538
11;"PA";396;100;5;22;18880318409;1348750921
11;"PB";43;42;4;19;31005426;19791554
11;"PE";392;77;5;24;304335225;227633456
11;"PI";14;15;4;8;76737463;34526103
11;"PR";2146;166;6;38;2427507329;3219559038
11;"RJ";1617;116;8;32;5289053645;2368502196
11;"RN";72;42;4;18;47898248;29582847
11;"RO";93;53;6;18;77550795;85405226
11;"RR";78;4;4;4;2395842;1173574
11;"RS";2361;167;6;40;1985371930;1452447516
11;"SC";2168;171;7;36;683036590;791276520
11;"SE";30;27;4;10;2808174;5270985
11;"SP";4608;203;8;49;3898248416;4304146077
11;"TO";21;36;4;11;91049891;45295983
12;"AC";57;19;4;7;24648510;10393320
12;"AL";161;28;5;12;159671157;42708922
12;"AM";379;58;6;14;7781199;38103121
12;"AP";7;9;4;3;56109003;16520110
12;"BA";781;102;7;34;1368381374;994009090
12;"CE";557;93;6;26;369715312;271736892
12;"DF";56;33;6;10;19859102;14350154
12;"ES";943;105;5;26;3912214058;845013887
12;"GO";279;104;7;30;879368627;577156641
12;"MA";490;38;3;5;664835426;284415770
12;"MG";1383;144;8;41;13491684010;2193809159
12;"MS";361;83;7;19;865716542;352621238
12;"MT";92;96;6;26;3996841253;1239492815
12;"ND";33;22;4;12;533352835;209265059
12;"PA";426;97;6;25;18312287173;1361848825
12;"PB";43;46;4;16;4912696;11205044
12;"PE";431;75;5;27;176097131;151242411
12;"PI";11;16;3;6;167392455;67557845
12;"PR";2196;168;6;35;2047848939;1325707436
12;"RJ";1659;121;8;30;5117271576;2098647494
12;"RN";74;46;5;21;45520614;38749117
12;"RO";106;62;6;21;69599581;75657623
12;"RR";50;7;5;4;2643429;1417400
12;"RS";2285;170;6;36;2347058311;1626579778
12;"SC";2135;178;6;34;668594765;826282369
12;"SE";31;28;4;11;5972634;4739585
12;"SP";4614;200;9;49;4013683554;4619624968
12;"TO";29;32;4;14;92384104;46163304
